,date_time,atm_pressure_mBar,rainfall_mm,wind_speed_m/s,wind_direct_degrees,surface_temperature_C,relative_humidity_%,solar_flux_Kw/m2,battery_V
0,2006/05/01 17:32,998,0.0,6.729,275.0,9.82,54.8,0.167217,-9999
1,2006/05/01 17:33,998,0.0,7.48,307.0,9.71,55.13,0.1465,-9999
2,2006/05/01 17:34,998,0.0,6.021,285.2,9.69,55.72,0.0932274,-9999
3,2006/05/01 17:35,998,0.0,4.521,283.1,9.81,55.85,0.155379,-9999
4,2006/05/01 17:36,998,0.0,3.708,290.3,9.91,54.87,0.0991466,-9999
5,2006/05/01 17:37,998,0.0,6.229,307.2,9.77,54.28,0.124303,-9999
6,2006/05/01 17:38,998,0.0,4.792,306.9,9.76,54.54,0.088788,-9999
7,2006/05/01 17:39,998,0.0,3.75,288.8,9.84,54.41,0.0695506,-9999
8,2006/05/01 17:40,998,0.0,4.813,303.9,9.84,53.89,0.0636314,-9999
9,2006/05/01 17:41,998,0.0,4.958,295.3,9.74,53.98,0.0651112,-9999
10,2006/05/01 17:42,998,0.0,6.896,315.8,9.61,53.33,0.106546,-9999
11,2006/05/01 17:43,998,0.0,5.958,317.5,9.64,52.51,0.165738,-9999
12,2006/05/01 17:44,998,0.0,5.958,303.4,9.65,52.21,0.15094,-9999
13,2006/05/01 17:45,998,0.0,6.104,310.1,9.58,52.41,0.14798,-9999
14,2006/05/01 17:46,998,0.0,6.083,304.4,9.62,52.35,0.180536,-9999
15,2006/05/01 17:47,998,0.0,5.188,290.4,9.81,53.1,0.182015,-9999
16,2006/05/01 17:48,998,0.0,5.438,295.0,9.95,52.12,0.15094,-9999
17,2006/05/01 17:49,998,0.0,5.292,294.5,9.86,52.51,0.100626,-9999
18,2006/05/01 17:50,998,0.0,5.375,308.2,9.78,53.03,0.165738,-9999
19,2006/05/01 17:51,998,0.0,5.396,288.5,9.83,52.97,0.179056,-9999
20,2006/05/01 17:52,998,0.0,5.667,279.6,9.81,53.3,0.170177,-9999
21,2006/05/01 17:53,998,0.0,4.833,290.6,9.88,52.94,0.170177,-9999
22,2006/05/01 17:54,998,0.0,5.417,279.9,9.83,53.3,0.170177,-9999
23,2006/05/01 17:55,998,0.0,5.396,279.7,9.83,53.56,0.167217,-9999
